url,Bad Exposure,Bad White Balance,Bad Saturation,Noise,Haze,Undesired Blur,Bad Composition
http://farm4.staticflickr.com/3038/2780075807_c7df040cf9.jpg,0.205158334,0.1026113157,0,0.0991660649,0.1004632273,0.1963211538,0.2012961681
http://farm8.staticflickr.com/7244/7111785747_f326533261.jpg,0.1104739428,0.3021810657,-0.4884060774,0.1013558606,0,0,0.1995170077
http://farm5.staticflickr.com/4073/4796665774_8be97f99ac.jpg,0.3014785301,0.3283116982,0,0,0,0,0.1888823311
http://farm5.staticflickr.com/4094/4805494738_80e009c6b5.jpg,0.1022855167,0.1119878622,-0.3074801022,0.1028341354,0.098876401,0,0.1048547974
http://farm9.staticflickr.com/8358/8322033077_817e2d8627.jpg,0.9022869473,0.3938949902,0.0838503727,0,0,0,0.2918295456
http://farm9.staticflickr.com/8189/8133955188_22d22ebd87_b.jpg,0.4967718247,0.792740503,0.3999239667,0,0,0,0.5170462866
http://farm4.staticflickr.com/3215/3142028514_5e0955fb22.jpg,0.209198006,0.1130310736,0,0,0,0,0.1930075917
http://farm9.staticflickr.com/8026/7333016824_c90984322f.jpg,0.3124381475,0.1113156593,-0.1235023353,0,0.1021513158,0.1028320723,0.2968333875
http://farm1.staticflickr.com/122/302951122_1c7034b416.jpg,0.613111753,0.1083963613,0,0,0,0,0.3027576215
http://farm7.staticflickr.com/6041/6850886596_5c6b017c85.jpg,0.2049107541,0.2127179787,-0.3985694027,0.1082886908,0.1954731678,0,0.2014019981
http://farm7.staticflickr.com/6056/6213226184_f182e6de85.jpg,0.118987556,0.298341465,-0.0009624097,0,0.0964484216,0,0.4080880088
http://farm5.staticflickr.com/4014/4685863297_9ddb5d8b89.jpg,0.7181309293,0.110081197,0,0.1979684651,0,0.1028320723,0.8069957197
http://farm3.staticflickr.com/2615/3827332973_56fa89140a.jpg,0.1029033609,0.2106960229,-0.2038182648,0.0966472366,0.218841175,0,0.2702911519
http://farm5.staticflickr.com/4111/5212625660_f0b0918047.jpg,0.2086290359,0.2070400199,0.1963332847,0.1051236311,0,0,0.195809149
http://farm3.staticflickr.com/2856/9186736364_b9e6cb54a3.jpg,0.1012592202,0.1087822355,0,0,0,0,0.635461015
http://farm4.staticflickr.com/3746/10361661864_5f49fbdcc2_b.jpg,0.4344993686,0.102528964,0.4011193829,0.1022557626,0,0.1069104478,0.1122044792
http://farm7.staticflickr.com/6210/6029496861_4be28ea077.jpg,0.3644863025,0.1071831221,-0.2964540122,0,0,0,0.222207666
http://farm8.staticflickr.com/7268/8165544760_87f5113e2c.jpg,0.1943114254,0.11281792,0,0.0818603333,0,0,0.2141870554
http://farm1.staticflickr.com/137/379893985_37d25fea9d.jpg,0.2939704261,0.4106067405,0.0753961273,0,0,0.0965657533,0.4238971964
